gdp,population,fossil_share_energy,low_carbon_share_energy,coal_share_energy,oil_share_energy,carbon_intensity_elec,greenhouse_gas_emissions,electricity_demand_per_capita,renewables_elec_per_capita,solar_share_elec,wind_share_elec,nuclear_share_elec,energy_per_gdp,renewable_share_lag_1,renewable_share_lag_2,renewable_share_lag_3,renewable_share_lag_4,renewable_share_lag_5,fossil_cons_change_pct,paris_agreement,renewable_growth,renewables_share_energy
-0.09133319263606217,-0.29436072155095455,94.312,5.688,37.987,35.099,1.1901921800939494,-0.04205757888885233,1.28338910858199,-0.0848585582608317,0.796,2.509,0.0,-0.2169710839732665,4.313,3.92,3.681,3.977,4.233,-0.4462940947844441,0,0.31880361697194526,5.688
-0.08038664150258014,-0.2928848516633363,94.312,5.688,36.096,36.548,1.1797910968139584,-0.04866937556800649,1.187867867482348,-0.09502312811517644,0.961,3.08,0.0,-0.29599963143355507,5.688,4.313,3.92,3.681,3.977,0.13211143207693068,0,0.0,5.688
-0.07375993525163942,-0.2913682391393405,93.488,6.512,33.829,37.159,1.0905226317450591,-0.05692726270670112,1.1373357624364477,-0.039130910025215036,1.543,3.711,0.0,-0.31055752175518714,5.688,5.688,4.313,3.92,3.681,-0.21956473037495391,0,0.14486638537271457,6.512
-0.06588321830441349,-0.28994966110610676,94.033,5.967,33.316,36.734,1.1249057760200365,-0.0561042174769309,1.0833171777657753,-0.07759698585880194,1.999,3.949,0.0,-0.33759360378107534,6.512,5.688,5.688,4.313,3.92,0.3667629176041913,0,-0.08369164619164615,5.967
-0.05868738580358098,-0.2885593444111465,93.717,6.283,33.749,35.615,1.1057621258297932,-0.05127568546227888,1.1076531437200585,-0.048481629057643416,2.441,4.658,0.0,-0.3386334530897632,5.967,6.512,5.688,5.688,4.313,-0.0031548226442126015,1,0.05295793531087667,6.283
-0.05000550142803103,-0.2870706839683556,92.813,7.187,33.617,35.572,1.0363230024735097,-0.05277088429636147,1.109799666257827,0.01193204291364923,2.881,5.05,0.0,-0.3719086309677795,6.283,5.967,6.512,5.688,5.688,-0.2561575769803248,1,0.14388031195288864,7.187
-0.04211588859062269,-0.28550604144269803,93.256,6.744,32.562,37.415,1.0558866387212067,-0.050425205391516306,1.078796853833298,-0.023793642481156313,3.444,5.101,0.0,-0.40934320608054775,7.187,6.283,5.967,6.512,5.688,0.3242336493949258,1,-0.061639070544037944,6.744
-0.03256194515493925,-0.28396414913575724,91.719,8.281,31.316,37.516,0.928798000621437,-0.05750339436754026,1.0749678089748764,0.08158304407682937,4.695,6.191,0.0,-0.4280604936369319,6.744,7.187,6.283,5.967,6.512,-0.5312951234081208,1,0.22790628706998817,8.281
-0.3223736510169787,-0.3525577475863808,70.997,29.003,14.271,38.173,-0.9507381746383973,-0.28862821230751645,0.16202750862454718,0.6986891686685133,0.0,0.0,0.0,-0.130663591352162,31.326,31.32,31.314,31.2155,31.117,-0.02376956229904712,0,0.00925235545312808,29.003
-0.32010476758128553,-0.35225282011669207,72.269,27.731,14.302,39.174,-0.8954071543549331,-0.2874347967243496,0.2082114507271887,0.6875780519678302,0.0,0.0,0.0,-0.1171455503392178,29.003,31.32,31.314,31.2155,31.117,0.8532683734919092,0,-0.043857531979450304,27.731
